epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3188.97,0.99116,0.71175,1.16622,0.73755,0.57143,0.73531,0.50073,1.28489,2.37117,1.38239,0.0011882,0.0011882,0.0011882
43,3261.5,1.04169,0.7217,1.15732,1,0.68602,0.84087,0.59713,1.07736,2.19666,1.22319,0.0011684,0.0011684,0.0011684
44,3342.43,1.02457,0.72846,1.16473,1,0.68602,0.84087,0.59713,1.07736,2.19666,1.22319,0.0011486,0.0011486,0.0011486
45,3421.3,1.01159,0.69553,1.11254,0.73463,1,0.96,0.68612,1.05739,2.05499,1.26407,0.0011288,0.0011288,0.0011288
46,3496.37,0.94997,0.65019,1.09567,0.73463,1,0.96,0.68612,1.05739,2.05499,1.26407,0.001109,0.001109,0.001109
47,3576.58,0.91398,0.61766,1.09453,0.82825,0.69248,0.77366,0.52385,1.21812,1.55437,1.38276,0.0010892,0.0010892,0.0010892
48,3654.58,0.9715,0.66424,1.13202,0.82825,0.69248,0.77366,0.52385,1.21812,1.55437,1.38276,0.0010694,0.0010694,0.0010694
49,3735.58,0.9448,0.60691,1.08722,0.63853,0.85714,0.83659,0.54577,0.99532,1.70241,1.14128,0.0010496,0.0010496,0.0010496
50,3813.68,0.9737,0.71059,1.14769,0.63853,0.85714,0.83659,0.54577,0.99532,1.70241,1.14128,0.0010298,0.0010298,0.0010298
51,3894.15,0.96666,0.649,1.16074,0.95616,0.71429,0.88372,0.47832,1.50545,1.35064,1.53533,0.00101,0.00101,0.00101
52,3983.87,1.03579,0.63606,1.11807,0.95616,0.71429,0.88372,0.47832,1.50545,1.35064,1.53533,0.0009902,0.0009902,0.0009902
53,4076.92,0.95636,0.66503,1.08578,1,0.83994,0.8621,0.52212,1.29194,1.30785,1.45477,0.0009704,0.0009704,0.0009704
54,4157.3,0.94801,0.6394,1.06509,1,0.83994,0.8621,0.52212,1.29194,1.30785,1.45477,0.0009506,0.0009506,0.0009506
55,4227.84,0.91356,0.61414,1.07519,0.92841,1,0.995,0.69901,1.10777,1.38986,1.21997,0.0009308,0.0009308,0.0009308
56,4300.39,0.91955,0.63081,1.1338,0.92841,1,0.995,0.69901,1.10777,1.38986,1.21997,0.000911,0.000911,0.000911
57,4371.15,0.86833,0.63416,1.08866,0.93401,0.85714,0.953,0.63938,1.21229,1.649,1.35566,0.0008912,0.0008912,0.0008912
58,4439.89,0.90526,0.63316,1.06691,0.93401,0.85714,0.953,0.63938,1.21229,1.649,1.35566,0.0008714,0.0008714,0.0008714
59,4512.18,0.84406,0.6062,1.06728,0.99353,0.71429,0.8375,0.56341,1.2668,1.74979,1.36057,0.0008516,0.0008516,0.0008516
60,4583.35,0.91268,0.63927,1.12233,0.99353,0.71429,0.8375,0.56341,1.2668,1.74979,1.36057,0.0008318,0.0008318,0.0008318
61,4653.67,0.84926,0.549,0.97595,0.93511,0.71429,0.85733,0.5934,1.2939,1.83375,1.37127,0.000812,0.000812,0.000812
62,4726.55,0.91085,0.58233,1.08244,0.93511,0.71429,0.85733,0.5934,1.2939,1.83375,1.37127,0.0007922,0.0007922,0.0007922
63,4800.1,0.88469,0.56874,1.01933,0.72968,1,0.94389,0.58221,1.33253,1.42558,1.3361,0.0007724,0.0007724,0.0007724
64,4872.69,0.8128,0.51533,1.05825,0.72968,1,0.94389,0.58221,1.33253,1.42558,1.3361,0.0007526,0.0007526,0.0007526
65,4945.45,0.82982,0.55632,1.05186,0.83604,1,0.96,0.6375,1.24697,1.14437,1.30519,0.0007328,0.0007328,0.0007328
66,5016.28,0.83468,0.53509,1.07919,0.83604,1,0.96,0.6375,1.24697,1.14437,1.30519,0.000713,0.000713,0.000713
67,5088.62,0.84558,0.48309,1.05346,0.8097,0.85714,0.92409,0.63821,1.13898,0.99778,1.22761,0.0006932,0.0006932,0.0006932
68,5160.73,0.85318,0.54894,1.08363,0.8097,0.85714,0.92409,0.63821,1.13898,0.99778,1.22761,0.0006734,0.0006734,0.0006734
69,5233.85,0.87106,0.54912,1.11613,0.71912,0.85714,0.86261,0.58902,1.1121,1.01144,1.1619,0.0006536,0.0006536,0.0006536
70,5303.09,0.83257,0.56525,1.07656,0.71912,0.85714,0.86261,0.58902,1.1121,1.01144,1.1619,0.0006338,0.0006338,0.0006338
71,5375.17,0.80765,0.53007,1.02326,0.74583,0.71429,0.82828,0.5298,1.28712,1.08079,1.23871,0.000614,0.000614,0.000614
72,5451.99,0.87227,0.58579,1.04839,0.74583,0.71429,0.82828,0.5298,1.28712,1.08079,1.23871,0.0005942,0.0005942,0.0005942
73,5526.49,0.76273,0.53578,1.01629,0.85504,0.84451,0.86658,0.57135,1.30196,1.06765,1.21232,0.0005744,0.0005744,0.0005744
74,5599.4,0.77262,0.49361,1.02412,0.85504,0.84451,0.86658,0.57135,1.30196,1.06765,1.21232,0.0005546,0.0005546,0.0005546
75,5666.97,0.77624,0.5471,1.03205,0.71895,0.85714,0.83436,0.58463,1.19584,1.13457,1.17539,0.0005348,0.0005348,0.0005348
76,5734.81,0.74695,0.48085,1.00454,0.71895,0.85714,0.83436,0.58463,1.19584,1.13457,1.17539,0.000515,0.000515,0.000515
77,5803.09,0.75383,0.5261,1.02303,0.73414,0.85714,0.82303,0.57249,1.31825,1.22297,1.27719,0.0004952,0.0004952,0.0004952
78,5873.38,0.67081,0.48577,0.96276,0.73414,0.85714,0.82303,0.57249,1.31825,1.22297,1.27719,0.0004754,0.0004754,0.0004754
79,5943.47,0.71447,0.50378,1.025,0.72381,0.85714,0.81328,0.56098,1.20473,1.24637,1.21081,0.0004556,0.0004556,0.0004556
80,6016.18,0.64562,0.48903,0.96702,0.72381,0.85714,0.81328,0.56098,1.20473,1.24637,1.21081,0.0004358,0.0004358,0.0004358
81,6089.35,0.72231,0.51488,1.03818,1,0.68283,0.83167,0.60718,1.13936,1.18244,1.20202,0.000416,0.000416,0.000416
82,6160.49,0.67806,0.46017,1.00071,1,0.68283,0.83167,0.60718,1.13936,1.18244,1.20202,0.0003962,0.0003962,0.0003962
83,6230.93,0.69641,0.50577,0.94408,0.97912,0.71429,0.8314,0.59108,1.18441,1.0995,1.20225,0.0003764,0.0003764,0.0003764
84,6299.38,0.63888,0.42903,0.95228,0.97912,0.71429,0.8314,0.59108,1.18441,1.0995,1.20225,0.0003566,0.0003566,0.0003566
85,6367.44,0.70041,0.51267,0.97025,1,0.80577,0.86272,0.60425,1.19433,1.15622,1.22476,0.0003368,0.0003368,0.0003368
86,6436.66,0.6706,0.45296,0.9955,1,0.80577,0.86272,0.60425,1.19433,1.15622,1.22476,0.000317,0.000317,0.000317
87,6505.44,0.6284,0.42597,0.92687,0.96468,0.85714,0.85798,0.6083,1.15181,1.11915,1.22209,0.0002972,0.0002972,0.0002972
88,6575.23,0.72154,0.45426,0.98757,0.96468,0.85714,0.85798,0.6083,1.15181,1.11915,1.22209,0.0002774,0.0002774,0.0002774
89,6645.4,0.59993,0.42862,0.94387,0.965,0.85714,0.85817,0.65297,1.10726,1.0434,1.20681,0.0002576,0.0002576,0.0002576
90,6716.13,0.6666,0.44965,0.97251,0.965,0.85714,0.85817,0.65297,1.10726,1.0434,1.20681,0.0002378,0.0002378,0.0002378
91,6785.51,0.6245,0.46043,0.95293,0.969,0.85714,0.86278,0.65519,1.05334,0.97737,1.18183,0.000218,0.000218,0.000218
92,6853.61,0.59777,0.50603,0.94645,0.969,0.85714,0.86278,0.65519,1.05334,0.97737,1.18183,0.0001982,0.0001982,0.0001982
93,6924.37,0.63901,0.53125,0.9989,0.99523,0.85714,0.86577,0.66609,0.9849,0.94707,1.11953,0.0001784,0.0001784,0.0001784
94,6996.37,0.59702,0.40883,0.98301,0.99523,0.85714,0.86577,0.66609,0.9849,0.94707,1.11953,0.0001586,0.0001586,0.0001586
95,7072.6,0.59895,0.45769,0.97224,0.81823,0.85714,0.8488,0.65397,0.9508,0.93742,1.0942,0.0001388,0.0001388,0.0001388
96,7146.54,0.61835,0.3915,1.03549,0.81823,0.85714,0.8488,0.65397,0.9508,0.93742,1.0942,0.000119,0.000119,0.000119
97,7219.59,0.57097,0.39403,0.95708,0.83871,0.85714,0.85315,0.6577,0.93739,0.90676,1.07877,9.92e-05,9.92e-05,9.92e-05
98,7289.29,0.56261,0.4157,0.95971,0.83871,0.85714,0.85315,0.6577,0.93739,0.90676,1.07877,7.94e-05,7.94e-05,7.94e-05
99,7363.35,0.55762,0.3868,0.95673,0.84092,0.85714,0.8595,0.67737,0.93063,0.89412,1.07486,5.96e-05,5.96e-05,5.96e-05
100,7434.86,0.56534,0.38753,0.92866,0.84092,0.85714,0.8595,0.67737,0.93063,0.89412,1.07486,3.98e-05,3.98e-05,3.98e-05
